n,seed,alpha,method,obj,runtime,n_cuts,status,mip_gap,n_callbacks,callback_time,n_iterations,heur_runtime,heur_value,heur_status,heur_pool_size,solver_runtime,coalitions,n_coalitions,avg_coalition_size,css_feasible,n_lifted_added,n_basic_added,n_value_evals,heur_phase1_time,heur_phase2_time,heur_core_checks,heur_core_feasible,heur_coalitions,heur_payoffs,payoffs,timestamp
24,66,1.0,lazy_McC,16435.0,3600.629,7793,timeout,0.0006480073014753147,226,78.31203007698059,,,,,,,"[(2, 4), (13, 16, 19), (7, 10, 14, 18, 21), (0, 5, 8, 12, 20, 22, 23), (1, 3, 6, 9, 11, 15, 17)]",5,4.8,True,7793,0,16021,,,,,,,"{""0"": 687.3333, ""1"": 521.5714, ""2"": 430.0, ""3"": 783.8571, ""4"": 636.0, ""5"": 705.0, ""6"": 684.4286, ""7"": 663.0, ""8"": 776.0, ""9"": 647.7143, ""10"": 651.0, ""11"": 778.8571, ""12"": 734.6667, ""13"": 524.0, ""14"": 727.0, ""15"": 608.7143, ""16"": 915.0, ""17"": 688.8571, ""18"": 704.0, ""19"": 635.0, ""20"": 707.6667, ""21"": 834.0, ""22"": 790.6667, ""23"": 600.6667}",07-26 21:35:51
24,66,1.0,lazy_DL,16436.0,3600.294,6153,timeout,0.0005871258211469184,207,51.34398055076599,,,,,,,"[(2, 3, 4, 5, 22), (11, 12, 14, 19, 20), (0, 1, 6, 7, 13, 18, 21), (8, 9, 10, 15, 16, 17, 23)]",4,6.0,True,6153,0,10653,,,,,,,"{""0"": 688.6667, ""1"": 521.6667, ""2"": 411.0, ""3"": 779.0, ""4"": 655.0, ""5"": 707.0, ""6"": 684.6667, ""7"": 657.6667, ""8"": 767.0, ""9"": 650.0, ""10"": 644.0, ""11"": 772.0, ""12"": 736.0, ""13"": 548.6667, ""14"": 742.0, ""15"": 609.0, ""16"": 902.0, ""17"": 694.0, ""18"": 710.3333, ""19"": 624.0, ""20"": 707.0, ""21"": 832.3333, ""22"": 788.0, ""23"": 605.0}",07-26 22:35:55
24,66,1.0,lazy_MIP_McC,16437.000025548215,3600.586,5125,timeout,0.0005262501933632235,176,47.00562143325806,,,,,,,"[(2, 4, 5, 18, 21), (0, 8, 12, 20, 22, 23), (7, 10, 13, 14, 16, 19), (1, 3, 6, 9, 11, 15, 17)]",4,6.0,True,5125,0,8886,,,,,,,"{""0"": 696.0, ""1"": 521.6667, ""2"": 430.0, ""3"": 784.0, ""4"": 636.0, ""5"": 706.0, ""6"": 684.3333, ""7"": 655.0, ""8"": 775.0, ""9"": 647.6667, ""10"": 637.0, ""11"": 778.3333, ""12"": 743.0, ""13"": 548.0, ""14"": 746.0, ""15"": 608.6666, ""16"": 907.0, ""17"": 689.3334, ""18"": 704.0, ""19"": 627.0, ""20"": 703.0, ""21"": 830.0, ""22"": 786.0, ""23"": 594.0}",07-26 23:35:57
24,66,1.0,lazy_MIP_DL,16432.0,3600.661,4785,timeout,0.00083069620242325,176,46.38686394691467,,,,,,,"[(6, 12, 18), (0, 7, 22, 23), (2, 11, 14, 17), (4, 9, 19, 21), (5, 8, 10, 20), (1, 3, 13, 15, 16)]",6,4.0,True,4785,0,9120,,,,,,,"{""0"": 684.0, ""1"": 528.0, ""2"": 409.0, ""3"": 786.0, ""4"": 636.0, ""5"": 696.0, ""6"": 669.0, ""7"": 659.0, ""8"": 767.0, ""9"": 645.0, ""10"": 651.0, ""11"": 785.0, ""12"": 740.0, ""13"": 549.0, ""14"": 738.0, ""15"": 604.0, ""16"": 901.0, ""17"": 697.0, ""18"": 717.0, ""19"": 625.0, ""20"": 712.0, ""21"": 837.0, ""22"": 798.0, ""23"": 599.0}",07-27 00:36:01
26,68,0.5,OCS_McC,17906.181183811972,3616.057,0,timeout,0.0067486393078628835,,,,,,,,,"[(2, 5), (7, 12), (0, 1, 3, 4, 6, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25)]",3,8.67,,,,,,,,,,,"{""0"": 0.0, ""1"": 0.0749, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 1341.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 0.014, ""11"": 0.0, ""12"": 1452.0, ""13"": 0.0, ""14"": 0.0054, ""15"": 0.007, ""16"": 0.0, ""17"": 0.007, ""18"": 15112.9965, ""19"": 0.0, ""20"": 0.0, ""21"": 0.0, ""22"": 0.014, ""23"": 0.0624, ""24"": 0.0, ""25"": 0.0}",07-27 03:36:16
26,68,0.5,OCS_DL,17896.00007459583,3600.223,0,timeout,0.006706561654425978,,,,,,,,,"[(2, 4), (17, 21), (19, 20, 25), (0, 1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 22, 23, 24)]",4,6.5,,,,,,,,,,,"{""0"": 13322.0001, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 1462.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 0.0, ""11"": 0.0, ""12"": 0.0, ""13"": 0.0, ""14"": 0.0, ""15"": 0.0, ""16"": 0.0, ""17"": 0.0, ""18"": 0.0, ""19"": 1845.0, ""20"": 0.0, ""21"": 1267.0, ""22"": 0.0, ""23"": 0.0, ""24"": 0.0, ""25"": 0.0}",07-27 04:36:33
26,68,0.5,lazy_McC,17819.000065700002,3601.483,94,timeout,0.011124203898992067,80,0.4175236225128174,,,,,,,"[(0,), (4,), (6,), (1, 23), (2, 10), (3, 20), (5, 16), (7, 12), (8, 19), (9, 14), (11, 17), (18, 21), (22, 25), (13, 15, 24)]",14,1.86,True,82,12,99,,,,,,,"{""0"": 783.0, ""1"": 735.0, ""2"": 614.0, ""3"": 627.0, ""4"": 839.0, ""5"": 717.0, ""6"": 755.0, ""7"": 749.0, ""8"": 885.0, ""9"": 824.0, ""10"": 479.0, ""11"": 620.0, ""12"": 703.0, ""13"": 725.0, ""14"": 512.0001, ""15"": 632.0, ""16"": 811.0, ""17"": 568.0, ""18"": 777.0, ""19"": 541.0, ""20"": 725.0, ""21"": 636.0, ""22"": 647.0, ""23"": 621.0, ""24"": 743.0, ""25"": 551.0}",07-27 05:36:39
26,68,0.5,lazy_DL,371.0,3600.781,3374,timeout,47.60631208169958,56,39.09322738647461,,,,,,,"[(0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,), (10,), (11,), (12,), (13,), (14,), (15,), (16,), (17,), (18,), (19,), (20,), (21,), (22,), (23,), (24,), (25,)]",26,1.0,True,1239,2135,5782,,,,,,,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 0.0, ""11"": 0.0, ""12"": 0.0, ""13"": 0.0, ""14"": 0.0, ""15"": 0.0, ""16"": 0.0, ""17"": 0.0, ""18"": 0.0, ""19"": 0.0, ""20"": 0.0, ""21"": 0.0, ""22"": 0.0, ""23"": 0.0, ""24"": 0.0, ""25"": 371.0}",07-27 06:36:44
26,68,0.5,lazy_MIP_McC,17816.0000879999,3601.617,98,timeout,0.011387541913570505,79,0.867206335067749,,,,,,,"[(4,), (0, 19), (1, 23), (2, 10), (3, 20), (5, 15), (6, 24), (7, 12), (8, 16), (9, 14), (18, 21), (22, 25), (11, 13, 17)]",13,2.0,True,86,12,100,,,,,,,"{""0"": 799.0, ""1"": 735.0, ""2"": 659.0, ""3"": 578.0, ""4"": 839.0, ""5"": 717.0, ""6"": 762.0, ""7"": 749.0, ""8"": 872.0, ""9"": 824.0, ""10"": 434.0, ""11"": 595.0, ""12"": 703.0, ""13"": 725.0, ""14"": 512.0, ""15"": 642.0, ""16"": 794.0, ""17"": 605.0, ""18"": 777.0, ""19"": 541.0, ""20"": 774.0001, ""21"": 636.0, ""22"": 647.0, ""23"": 621.0, ""24"": 725.0, ""25"": 551.0}",07-27 07:36:49
26,68,0.5,lazy_MIP_DL,371.0,3600.532,3522,timeout,47.614757412399044,62,46.572187423706055,,,,,,,"[(0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,), (10,), (11,), (12,), (13,), (14,), (15,), (16,), (17,), (18,), (19,), (20,), (21,), (22,), (23,), (24,), (25,)]",26,1.0,True,1324,2198,5437,,,,,,,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 0.0, ""11"": 0.0, ""12"": 0.0, ""13"": 0.0, ""14"": 0.0, ""15"": 0.0, ""16"": 0.0, ""17"": 0.0, ""18"": 0.0, ""19"": 0.0, ""20"": 0.0, ""21"": 0.0, ""22"": 0.0, ""23"": 0.0, ""24"": 0.0, ""25"": 371.0}",07-27 08:36:53
